time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,3,3,4,4
2026-06-10 00:00:00+00:00,142,53,87,5
2026-06-11 00:00:00+00:00,124,29,104,5
2026-06-12 00:00:00+00:00,4,4,44,10
2026-06-13 00:00:00+00:00,7,6,18,17
2026-06-14 00:00:00+00:00,13,11,2,2
2026-06-15 00:00:00+00:00,9,6,1,1
2026-06-16 00:00:00+00:00,43,9,37,4
2026-06-17 00:00:00+00:00,3,3,10,5
2026-06-18 00:00:00+00:00,5,3,18,4
2026-06-19 00:00:00+00:00,118,23,102,4
2026-06-20 00:00:00+00:00,8,7,14,1
2026-06-21 00:00:00+00:00,14,13,1,1
2026-06-22 00:00:00+00:00,27,11,21,8
