url_path,views_total,views_unique
/brian-team/brian2tools,73,33
/brian-team/brian2tools/issues,24,15
/brian-team/brian2tools/tree/master/brian2tools,17,9
/brian-team/brian2tools/pulls,10,6
/brian-team/brian2tools/tree/master/brian2tools/baseexport,9,5
/brian-team/brian2tools/tree/master/dev,7,3
/brian-team/brian2tools/blob/master/brian2tools/baseexport/collector.py,5,5
/brian-team/brian2tools/tree/master/brian2tools/mdexport,5,3
/brian-team/brian2tools/tree/master/brian2tools/nmlexport,5,3
/brian-team/brian2tools/issues/24,4,3
